,UT,N_ION,VX_ION,VY_ION,VZ,TX_ION,TY_ION,TZ_ION,VT_ION,TT_ION
1673,2009-09-15T12:27:21.962Z,0.59734653,5.4673268,5.7468247,2.2542122,2880.2465,2862.2652,2292.8835,8.246158446,4663.228144
1674,2009-09-15T12:27:25.094Z,0.56820767,-2.8939477,8.8956393,5.1704176,3045.942,3038.2129,2467.2621,10.6883371,4959.423612
1675,2009-09-15T12:27:28.226Z,0.59734653,-9.9360046,4.8950209,-4.321417,2938.645,3064.6926,2355.3294,11.88949376,4855.466172
1676,2009-09-15T12:27:31.358Z,0.62648538,-2.3706564,10.829284,-8.2741902,2785.442,2768.4935,2213.9316,13.83313512,4508.29641
1677,2009-09-15T12:27:34.490Z,0.56820767,-2.6969168,8.2006564,1.4193364,3147.7219,3088.7625,2452.7381,8.748636547,5046.239305
1678,2009-09-15T12:27:37.623Z,0.59734653,-2.0794369,1.7061991,0.1615661,2846.1173,2912.6908,2302.3474,2.694675638,4678.135839
1679,2009-09-15T12:27:40.755Z,0.59734653,-5.2146113,-5.7008667,-2.9447533,2823.8548,2833.6825,2244.5733,8.268229807,4587.158351
1680,2009-09-15T12:27:43.887Z,0.62648538,-0.41706457,3.8491314,-6.1902517,2765.9529,2775.3165,2299.7043,7.301299302,4543.293628
1681,2009-09-15T12:27:47.019Z,0.56820767,-13.683894,4.2771913,-0.53586236,3059.8876,2961.6544,2545.4111,14.34679298,4961.192052
1682,2009-09-15T12:27:50.151Z,0.59734653,10.0946,2.0597019,1.0321929,2922.1637,2927.6501,2442.6289,10.3541655,4803.812209
1683,2009-09-15T12:27:53.283Z,0.59734653,3.0552064,8.9657322,-7.6202454,2952.0932,2994.2403,2338.4228,12.15675861,4811.294049
1684,2009-09-15T12:27:56.415Z,0.62648538,-1.9524623,-1.4126628,-1.0262474,2725.3591,2751.1903,2286.8243,2.619333683,4497.354297
1685,2009-09-15T12:27:59.547Z,0.59734653,-4.8023934,-0.62790467,5.842944,2802.1816,2897.608,2422.2006,7.589284632,4702.702371
1686,2009-09-15T12:28:02.679Z,0.53906875,-2.1699791,-6.6822547,0.001920072,3150.6871,3232.0669,2583.3289,7.025762653,5200.641677
1687,2009-09-15T12:28:05.811Z,0.59734646,-5.2865199,-6.8628966,6.0211419,2872.5109,2811.9554,2320.9445,10.54991906,4641.680236
1688,2009-09-15T12:28:08.944Z,0.56820761,-2.1416928,-4.2143904,5.6291264,3077.9233,3059.2259,2524.3344,7.35085019,5020.432164
1689,2009-09-15T12:28:12.076Z,0.53906875,-4.8840699,-5.2364846,-4.1631817,3264.9965,3163.9755,2628.5487,8.282933757,5251.686527
1690,2009-09-15T12:28:15.208Z,0.59734646,2.9189782,-1.763736,9.5018241,2916.9001,3035.133,2360.1187,10.09533851,4826.023083
1691,2009-09-15T12:28:18.340Z,0.62648531,-5.4898679,-4.4588923,-2.7218714,2729.0066,2756.8888,2226.8101,7.578189363,4472.873361
1692,2009-09-15T12:28:21.472Z,0.59734646,-5.6186287,-0.050242586,-8.8348433,2948.348,2918.7892,2377.0354,10.47024207,4781.462498
1693,2009-09-15T12:28:24.604Z,0.59734646,-3.2790134,1.8385068,-4.4803321,2890.3814,2832.7295,2307.8794,5.848539293,4658.859129
1694,2009-09-15T12:28:27.736Z,0.59734646,-6.6688347,0.38455932,4.7027672,2884.538,2847.9478,2373.0049,8.169287696,4697.075516
1695,2009-09-15T12:28:30.868Z,0.56820761,-4.7965746,0.47831908,5.1149179,3039.9562,3090.9578,2470.736,7.028392573,4989.978978
1696,2009-09-15T12:28:34.000Z,0.56820761,-15.624818,-1.6150138,-4.5116953,3176.2721,3044.8379,2534.7995,16.34315152,5077.888419
1697,2009-09-15T12:28:37.132Z,0.56820754,-6.5088523,-5.0393362,-8.6946364,3022.7763,2861.2126,2512.5915,11.97316874,4861.772326
1698,2009-09-15T12:28:40.264Z,0.56820754,0.61363855,-0.69073964,7.0141124,2954.1503,2929.6403,2475.0217,7.074704678,4841.025583
1699,2009-09-15T12:28:43.397Z,0.53906869,3.3028945,-8.9912234,-2.6072999,3139.8866,3183.7188,2592.7688,9.927196134,5168.888015
1700,2009-09-15T12:28:46.529Z,0.56820754,5.6712919,-9.7518861,13.198007,3101.6354,3052.8347,2502.7972,17.36232194,5020.352147
1701,2009-09-15T12:28:49.661Z,0.56820754,-9.0570447,-2.3566569,-10.082154,2982.2244,2985.9229,2474.268,13.75622476,4891.973025
1702,2009-09-15T12:28:52.793Z,0.53906869,-9.2300141,-7.1253148,1.1927614,3192.0818,3300.7891,2627.4272,11.72117533,5290.365639
1703,2009-09-15T12:28:55.925Z,0.56820754,-0.31063666,0.47668514,8.5792698,2980.6487,2913.66,2374.1076,8.598115733,4796.881087
1704,2009-09-15T12:28:59.057Z,0.56820754,-5.6420307,-12.161363,-0.69042341,3130.2092,2990.2334,2550.6218,13.42415528,5024.477783
1705,2009-09-15T12:29:02.189Z,0.59734639,-8.0263342,-2.7301984,-6.6325031,2806.891,2805.3043,2418.213,10.76411266,4647.162943
1706,2009-09-15T12:29:05.321Z,0.56820754,0.62006404,-8.5285212,8.0150334,2916.5203,2965.4299,2499.961,11.72010724,4852.800238
1707,2009-09-15T12:29:08.453Z,0.59734631,-10.11539,-8.1637729,7.9039893,2824.5026,2900.3164,2349.0588,15.21319656,4680.569132
1708,2009-09-15T12:29:11.585Z,0.56820747,-2.8377334,-8.1210567,-2.3960282,2946.3991,2951.9092,2490.6388,8.930019256,4857.809919
1709,2009-09-15T12:29:14.718Z,0.50992978,-3.7146435,-15.323315,6.9397834,3253.2797,3456.5499,2750.4633,17.22681493,5486.038132
1710,2009-09-15T12:29:17.850Z,0.62648516,-4.6395606,-5.1068713,-1.8433177,2581.9779,2686.0014,2199.0453,7.141671876,4326.316404
1711,2009-09-15T12:29:20.982Z,0.59734631,-11.261282,-6.5418105,-2.7541899,2755.8465,2826.6119,2392.6833,13.31154833,4616.206033
1712,2009-09-15T12:29:24.114Z,0.50992978,-1.3937113,-9.1242947,1.2100471,3301.2635,3355.2547,2756.0523,9.309103015,5454.530143
1713,2009-09-15T12:29:27.246Z,0.59734631,-9.0156854,-1.4534616,-2.1748362,2931.7848,2808.9138,2407.2314,9.387494147,4720.182397
1714,2009-09-15T12:29:30.378Z,0.59734631,-5.3610223,7.3517843,2.9538943,2799.3924,2811.2148,2386.5874,9.566335977,4629.830005
1715,2009-09-15T12:29:33.510Z,0.53906863,-1.8165872,-0.78149867,1.0372397,3209.0399,2960.8312,2639.0955,2.233068611,5101.890192
1716,2009-09-15T12:29:36.642Z,0.53906863,-7.942875,-4.8518149,1.8930928,3108.5718,3270.576,2617.6286,9.498061457,5216.499353
1717,2009-09-15T12:29:39.774Z,0.59734624,-10.284774,-1.1442948,-2.1314847,2872.9662,2750.3548,2270.8145,10.56547272,4579.8455
1718,2009-09-15T12:29:42.906Z,0.53906856,-1.9485428,2.7341855,-1.6270944,3067.7087,3111.6453,2677.7806,3.730955049,5124.810444
1719,2009-09-15T12:29:46.039Z,0.50992972,2.6225339,-6.0866226,6.9990629,3148.5422,3279.7704,2772.7301,9.639063243,5325.245916
1720,2009-09-15T12:29:49.171Z,0.5682074,1.2526489,1.1115061,-5.4978797,3000.8717,2917.8523,2435.5511,5.747282512,4842.62348
1721,2009-09-15T12:29:52.303Z,0.53906856,-6.5157529,4.6028673,3.5088421,3146.2734,3184.5511,2553.4193,8.715124561,5153.673655
1722,2009-09-15T12:29:55.435Z,0.5682074,7.9957691,1.5190178,-0.53893853,2930.3615,2974.8257,2496.8569,8.156604276,4865.275002
1723,2009-09-15T12:29:58.567Z,0.5682074,-5.7937726,9.7346624,0.66214321,2897.5228,2967.2348,2491.0047,11.34768199,4837.894702
1724,2009-09-15T12:30:01.699Z,0.53906856,-0.47807638,-0.70774507,-5.1643457,3078.3928,3216.5278,2614.3837,5.234493922,5163.09553
1725,2009-09-15T12:30:04.831Z,0.59734624,-3.7420885,-5.5559536,12.449276,2814.606,2782.8223,2370.7888,14.13705484,4613.756216
1726,2009-09-15T12:30:07.963Z,0.5682074,-2.6727413,8.1546734,-7.3821221,3013.2996,2954.233,2437.7561,11.31980437,4873.409679
1727,2009-09-15T12:30:11.095Z,0.56820733,-4.5413914,-9.9967044,0.23739729,2934.9169,3044.9019,2451.0032,10.98247204,4888.003834
1728,2009-09-15T12:30:14.227Z,0.56820733,4.0800373,6.2976808,4.8466782,2991.4638,3100.4735,2519.7362,8.93296017,4991.078251
1729,2009-09-15T12:30:17.359Z,0.56820733,-4.6373449,-3.2627446,-7.0719859,2806.442,2813.2811,2423.0946,9.064405916,4654.251249
1730,2009-09-15T12:30:20.492Z,0.5390685,8.178855,11.399309,-7.1470811,3014.5792,3005.9228,2607.194,15.74543372,4992.065723
