UT,B_TOTAL,BX,BY,BZ
2009-09-15T11:18:28.836Z,167.106,-36.5188,113.244,117.332
2009-09-15T11:18:31.968Z,167.008,-36.5767,112.831,117.572
2009-09-15T11:18:35.100Z,166.816,-36.5912,112.863,117.263
2009-09-15T11:18:38.232Z,166.664,-36.5098,112.813,117.121
2009-09-15T11:18:41.364Z,166.52,-36.4155,112.615,117.135
2009-09-15T11:18:44.496Z,166.249,-36.3222,112.338,117.045
2009-09-15T11:18:47.628Z,166.201,-36.5837,112.323,116.911
2009-09-15T11:18:50.761Z,166.095,-36.5019,112.302,116.806
2009-09-15T11:18:53.893Z,165.942,-36.4904,112.052,116.831
2009-09-15T11:18:57.025Z,165.6,-36.315,111.777,116.664
2009-09-15T11:19:00.157Z,165.579,-36.5891,111.93,116.401
2009-09-15T11:19:03.289Z,165.446,-36.4946,111.74,116.425
2009-09-15T11:19:06.421Z,165.247,-36.4835,111.462,116.412
2009-09-15T11:19:09.553Z,165.095,-36.5932,111.626,116.004
2009-09-15T11:19:12.685Z,164.96,-36.4161,111.48,116.008
2009-09-15T11:19:15.817Z,164.712,-36.3226,111.217,115.937
2009-09-15T11:19:18.949Z,164.587,-36.4065,111.093,115.854
2009-09-15T11:19:22.082Z,164.574,-36.3238,111.129,115.825
2009-09-15T11:19:25.214Z,164.363,-36.3128,110.844,115.802
2009-09-15T11:19:28.346Z,164.213,-36.3141,110.749,115.68
2009-09-15T11:19:31.478Z,164.174,-36.149,110.816,115.612
2009-09-15T11:19:34.610Z,163.986,-36.1377,110.545,115.609
2009-09-15T11:19:37.742Z,163.828,-36.1519,110.599,115.329
2009-09-15T11:19:40.874Z,163.709,-35.9875,110.615,115.195
2009-09-15T11:19:44.006Z,163.615,-35.9055,110.602,115.099
2009-09-15T11:19:47.138Z,163.446,-35.8813,110.19,115.263
2009-09-15T11:19:50.270Z,163.221,-35.9788,110.155,114.946
2009-09-15T11:19:53.403Z,163.117,-35.8271,110.334,114.673
2009-09-15T11:19:56.535Z,163.044,-35.8149,110.135,114.765
2009-09-15T11:19:59.667Z,162.75,-35.7219,109.844,114.656
2009-09-15T11:20:02.799Z,162.568,-35.8062,109.683,114.525
2009-09-15T11:20:05.931Z,162.409,-35.8903,109.536,114.412
2009-09-15T11:20:09.063Z,162.351,-35.8908,109.5,114.366
2009-09-15T11:20:12.195Z,162.094,-35.8802,109.185,114.305
2009-09-15T11:20:15.327Z,161.901,-35.8947,109.217,113.997
2009-09-15T11:20:18.459Z,161.772,-35.813,109.182,113.873
2009-09-15T11:20:21.592Z,161.604,-35.7888,108.77,114.036
2009-09-15T11:20:24.724Z,161.448,-35.9557,108.579,113.944
2009-09-15T11:20:27.856Z,161.263,-35.9573,108.463,113.793
2009-09-15T11:20:30.988Z,161.189,-35.9835,108.722,113.431
2009-09-15T11:20:34.120Z,160.982,-35.7942,108.378,113.526
2009-09-15T11:20:37.252Z,160.906,-35.9604,108.237,113.5
2009-09-15T11:20:40.384Z,160.728,-35.8663,108.018,113.486
